ID,Age,Gender,BUS,BUS_history,Work_status,Work_status_gender,BUSsuccess,RevenueBest,MarketValBest,Operate_longest,AccGoals,BUS_current,HPS,SV,MV,Ex,ZRE_HPS,ZRE_HPS2,ZRE_SV,ZRE_SV2,ZRE_MV,ZRE_MV2,ZRE_Ex,ZRE_Ex2
L025,32,0,0,-1,2,2, , , , , ,-1,19,8,7,2,-0.116317701,0.013529808,-0.479340673,0.229767481,0.223108577,0.049777437,-0.431701078,0.18636582
S014,37,0,0,-1,2,2, , , , , ,-1,19,12,6,1,-0.020286667,0.000411549,0.754509237,0.569284188,0.022694071,0.000515021,-0.885025403,0.783269964
H041,45,0,0,-1,2,2, , , , , ,-1,18,8,6,3,-0.000919082,8.45E-07,-0.269992408,0.072895901,0.169322817,0.028670216,0.210954243,0.044501693
H087,50,0,0,-1,2,2, , , , , ,-1,18,6,5,5,0.095111953,0.009046284,-0.766139518,0.586969762,-0.031091689,0.000966693,1.275378723,1.626590888
S142,36,0,0,-1,2,2, , , , , ,-1,21,10,8,3,0.229071268,0.052473646,0.161739851,0.026159779,0.588480421,0.346309206,0.116288745,0.013523072
L177,26,0,0,-1,2,2, , , , , ,-1,24,7,11,5,0.43985541,0.193472782,-0.864295785,0.747007205,1.281366904,1.641901144,1.022937396,1.046400916
L105,31,0,0,-1,2,2, , , , , ,-1,24,11,7,6,0.535886445,0.287174282,0.369554124,0.136570251,0.204779984,0.041934842,1.581445608,2.50097021
L112,37,0,0,-1,2,2, , , , , ,-1,24,10,7,5,0.651123686,0.423962055,0.177843564,0.031628333,0.314751543,0.099068534,1.138639671,1.2965003
H011,41,0,0,-1,2,2, , , , , ,-1,24,10,8,5,0.727948514,0.529909039,0.242258414,0.058689139,0.680123387,0.462567822,1.180713226,1.394083721
L137,28,0,0,-1,2,2, , , , , ,-1,28,10,10,7,1.015396106,1.031029252,0.03291015,0.001083078,1.025966619,1.052607504,2.05580671,4.226341231
L129,30,0,0,-1,2,2, , , , , ,-1,29,9,14,5,1.188090591,1.411559252,-0.223215262,0.049825053,2.230853692,4.976708194,1.065010951,1.134248325
L091,38,0,0,-1,2,2, , , , , ,-1,28,16,7,3,1.207458176,1.457955246,1.923944296,3.701561654,0.333080136,0.110942377,0.137325523,0.018858299
L010,39,0,0,-1,2,2, , , , , ,-1,37,14,14,7,2.435203018,5.930213737,1.363382335,1.858811392,2.39581103,5.739910493,2.171508985,4.715451274
