ID,Age,Gender,BUS,SerialEntr,BUS_history,Work_status,RevenueBest,MarketValBest,HPS,SV,MV,Ex,ZHPS,ZHPS2,ZSV,ZSV2,ZMV,ZMV2,ZEx,ZEx2,ZRE_HPS,ZRE_HPS2,ZRE_SV,ZRE_SV2,ZRE_MV,ZRE_MV2,ZRE_Ex,ZRE_Ex2
L138,46,0,1,0,0,2,40000000, ,19,10,4,4,-0.25,0.06,-0.10,0.01,-0.75,0.56,0.60,0.36,-0.13,0.02,0.13,0.02,-0.71,0.51,0.49,0.24
L151,64,1,1,0,0,2,14000000, ,12,8,2,1,-1.11,1.22,-0.60,0.36,-1.31,1.71,-0.84,0.71,-0.62,0.38,-0.26,0.07,-0.85,0.73,-0.36,0.13
L153,39,1,1,0,0,2,3000000, ,12,8,2,1,-1.11,1.22,-0.60,0.36,-1.31,1.71,-0.84,0.71,-1.22,1.49,-0.69,0.47,-1.40,1.96,-0.88,0.78
L162,44,1,1,0,0,3,500000,0,31,12,12,5,1.21,1.46,0.40,0.16,1.47,2.16,1.08,1.17,1.29,1.68,0.41,0.17,1.55,2.40,1.19,1.42
L167,55,0,1,0,0,4,60000, ,11,6,4,1,-1.23,1.51,-1.10,1.20,-0.75,0.56,-0.84,0.71,-0.92,0.85,-0.74,0.54,-0.52,0.27,-0.80,0.64
L175,51,1,1,1,1,5,143000, ,17,10,4,1,-0.50,0.25,-0.10,0.01,-0.75,0.56,-0.84,0.71,-0.30,0.09,0.02,0.00,-0.57,0.32,-0.63,0.40
L178,34,0,1,1,1,5,130000, ,12,8,2,1,-1.11,1.22,-0.60,0.36,-1.31,1.71,-0.84,0.71,-1.30,1.70,-0.59,0.34,-1.54,2.38,-1.24,1.54
L180,40,0,1,0,0,3,170000, ,24,12,11,1,0.36,0.13,0.40,0.16,1.19,1.42,-0.84,0.71,0.35,0.12,0.53,0.28,1.14,1.31,-1.12,1.24
L184,44,1,1,0,0,0,200000, ,16,4,9,3,-0.62,0.38,-1.60,2.55,0.64,0.41,0.12,0.01,-0.59,0.35,-1.62,2.61,0.70,0.49,0.21,0.04
L185,46,1,1,0,0,2,20000, ,22,11,8,1,0.11,0.01,0.15,0.02,0.36,0.13,-0.84,0.71,0.21,0.04,0.19,0.04,0.46,0.21,-0.74,0.54
L187,56,1,1,1,1,3,15000000,85000000,17,10,5,1,-0.50,0.25,-0.10,0.01,-0.47,0.22,-0.84,0.71,-0.18,0.03,0.11,0.01,-0.18,0.03,-0.53,0.28
L198,32,0,1,0,0,4,3500000, ,12,8,2,1,-1.11,1.22,-0.60,0.36,-1.31,1.71,-0.84,0.71,-1.35,1.83,-0.62,0.38,-1.59,2.52,-1.28,1.64
L205,38,0,1,0,0,5,40000, ,32,18,5,7,1.33,1.77,1.90,3.61,-0.47,0.22,2.04,4.16,1.31,1.72,2.02,4.08,-0.60,0.36,1.79,3.22
